B0001	Driver Frontal Stage 1 Deployment Control
B0002	Driver Frontal Stage 2 Deployment Control
B0010	Passenger Frontal Stage 1 Deployment Control
B0011	Passenger Frontal Stage 2 Deployment Control
C0035	Left Front Wheel Speed Sensor Circuit
C0040	Right Front Wheel Speed Sensor Circuit
C0045	Left Rear Wheel Speed Sensor Circuit
C0050	Right Rear Wheel Speed Sensor Circuit
C0051	Steering Wheel Position Sensor Circuit
C0110	Pump Motor Circuit
C0121	Valve Relay Circuit
C0265	EBCM Relay Circuit
C0550	Electronic Control Unit Performance
P0030	HO2S Heater Control Circuit (Bank 1 Sensor 1)
P0031	HO2S Heater Control Circuit Low (Bank 1 Sensor 1)
P0032	HO2S Heater Control Circuit High (Bank 1 Sensor 1)
P0036	HO2S Heater Control Circuit (Bank 1 Sensor 2)
P0037	HO2S Heater Control Circuit Low (Bank 1 Sensor 2)
P0038	HO2S Heater Control Circuit High (Bank 1 Sensor 2)
P0042	HO2S Heater Control Circuit (Bank 1 Sensor 3)
P0043	HO2S Heater Control Circuit Low (Bank 1 Sensor 3)
P0044	HO2S Heater Control Circuit High (Bank 1 Sensor 3)
P0050	HO2S Heater Control Circuit (Bank 2 Sensor 1)
P0051	HO2S Heater Control Circuit Low (Bank 2 Sensor 1)
P0052	HO2S Heater Control Circuit High (Bank 2 Sensor 1)
P0056	HO2S Heater Control Circuit (Bank 2 Sensor 2)
P0057	HO2S Heater Control Circuit Low (Bank 2 Sensor 2)
P0058	HO2S Heater Control Circuit High (Bank 2 Sensor 2)
P0062	HO2S Heater Control Circuit (Bank 2 Sensor 3)
P0063	HO2S Heater Control Circuit Low (Bank 2 Sensor 3)
P0064	HO2S Heater Control Circuit High (Bank 2 Sensor 3)
P0100	Mass or Volume Air Flow Circuit
P0101	Mass or Volume Air Flow Circuit Range/Performance
P0102	Mass or Volume Air Flow Circuit Low Input
P0103	Mass or Volume Air Flow Circuit High Input
P0104	Mass or Volume Air Flow Circuit Intermittent
P0105	Manifold Absolute Pressure/Barometric Pressure Circuit
P0106	Manifold Absolute Pressure/Barometric Pressure Range/Performance
P0107	Manifold Absolute Pressure/Barometric Pressure Low Input
