B0001	運転席フロントエアバッグ 第1段 展開制御
B0002	運転席フロントエアバッグ 第2段 展開制御
B0010	助手席フロントエアバッグ 第1段 展開制御
B0011	助手席フロントエアバッグ 第2段 展開制御
C0035	左前輪速センサー回路
C0040	右前輪速センサー回路
C0045	左後輪速センサー回路
C0050	右後輪速センサー回路
C0051	ステアリング舵角センサー回路
C0110	ポンプモーター回路
C0121	バルブリレー回路
C0265	EBCM リレー回路
C0550	電子制御ユニット 性能
P0030	O2センサーヒーター制御回路 (バンク1 センサー1)
P0031	O2センサーヒーター制御回路 低 (バンク1 センサー1)
P0032	O2センサーヒーター制御回路 高 (バンク1 センサー1)
P0036	O2センサーヒーター制御回路 (バンク1 センサー2)
P0037	O2センサーヒーター制御回路 低 (バンク1 センサー2)
P0038	O2センサーヒーター制御回路 高 (バンク1 センサー2)
P0042	O2センサーヒーター制御回路 (バンク1 センサー3)
P0043	O2センサーヒーター制御回路 低 (バンク1 センサー3)
P0044	O2センサーヒーター制御回路 高 (バンク1 センサー3)
P0050	O2センサーヒーター制御回路 (バンク2 センサー1)
P0051	O2センサーヒーター制御回路 低 (バンク2 センサー1)
P0052	O2センサーヒーター制御回路 高 (バンク2 センサー1)
P0056	O2センサーヒーター制御回路 (バンク2 センサー2)
P0057	O2センサーヒーター制御回路 低 (バンク2 センサー2)
P0058	O2センサーヒーター制御回路 高 (バンク2 センサー2)
P0062	O2センサーヒーター制御回路 (バンク2 センサー3)
P0063	O2センサーヒーター制御回路 低 (バンク2 センサー3)
P0064	O2センサーヒーター制御回路 高 (バンク2 センサー3)
P0100	エアフローセンサー回路
P0101	エアフローセンサー回路 範囲/性能
P0102	エアフローセンサー回路 入力低
P0103	エアフローセンサー回路 入力高
P0104	エアフローセンサー回路 断続
P0105	吸気圧センサー回路
P0106	吸気圧センサー回路 範囲/性能
P0107	吸気圧センサー回路 入力低
P0108	吸気圧センサー回路 入力高
P0109	吸気圧センサー回路 断続
P0110	吸気温センサー回路
P0111	吸気温センサー回路 範囲/性能
P0112	吸気温センサー回路 入力低
P0113	吸気温センサー回路 入力高
P0114	吸気温センサー回路 断続
P0115	冷却水温センサー回路
P0116	冷却水温センサー回路 範囲/性能
P0117	冷却水温センサー回路 入力低
P0118	冷却水温センサー回路 入力高
P0119	冷却水温センサー回路 断続
P0120	スロットル/ペダル位置センサーA回路
P0121	スロットル/ペダル位置センサーA 範囲/性能
P0122	スロットル/ペダル位置センサーA 入力低
P0123	スロットル/ペダル位置センサーA 入力高
P0124	スロットル/ペダル位置センサーA 断続
P0125	クローズドループ制御に必要な冷却水温に未到達
P0126	安定動作に必要な冷却水温に未到達
P0128	サーモスタット 調整温度未満
P0130	O2センサー回路 (バンク1 センサー1)
P0131	O2センサー回路 電圧低 (バンク1 センサー1)
P0132	O2センサー回路 電圧高 (バンク1 センサー1)
P0133	O2センサー回路 応答遅れ (バンク1 センサー1)
P0134	O2センサー回路 活性なし (バンク1 センサー1)
P0135	O2センサーヒーター回路 (バンク1 センサー1)
P0136	O2センサー回路 (バンク1 センサー2)
P0137	O2センサー回路 電圧低 (バンク1 センサー2)
P0138	O2センサー回路 電圧高 (バンク1 センサー2)
P0139	O2センサー回路 応答遅れ (バンク1 センサー2)
P0140	O2センサー回路 活性なし (バンク1 センサー2)
P0141	O2センサーヒーター回路 (バンク1 センサー2)
P0142	O2センサー回路 (バンク1 センサー3)
P0143	O2センサー回路 電圧低 (バンク1 センサー3)
P0144	O2センサー回路 電圧高 (バンク1 センサー3)
P0145	O2センサー回路 応答遅れ (バンク1 センサー3)
P0146	O2センサー回路 活性なし (バンク1 センサー3)
P0147	O2センサーヒーター回路 (バンク1 センサー3)
P0150	O2センサー回路 (バンク2 センサー1)
P0151	O2センサー回路 電圧低 (バンク2 センサー1)
P0152	O2センサー回路 電圧高 (バンク2 センサー1)
P0153	O2センサー回路 応答遅れ (バンク2 センサー1)
P0154	O2センサー回路 活性なし (バンク2 センサー1)
P0155	O2センサーヒーター回路 (バンク2 センサー1)
P0156	O2センサー回路 (バンク2 センサー2)
P0157	O2センサー回路 電圧低 (バンク2 センサー2)
P0158	O2センサー回路 電圧高 (バンク2 センサー2)
P0159	O2センサー回路 応答遅れ (バンク2 センサー2)
P0160	O2センサー回路 活性なし (バンク2 センサー2)
P0161	O2センサーヒーター回路 (バンク2 センサー2)
P0162	O2センサー回路 (バンク2 センサー3)
P0163	O2センサー回路 電圧低 (バンク2 センサー3)
P0164	O2センサー回路 電圧高 (バンク2 センサー3)
P0165	O2センサー回路 応答遅れ (バンク2 センサー3)
P0166	O2センサー回路 活性なし (バンク2 センサー3)
P0167	O2センサーヒーター回路 (バンク2 センサー3)
P0170	燃料補正 異常 (バンク1)
P0171	混合気 薄すぎ (バンク1)
P0172	混合気 濃すぎ (バンク1)
P0173	燃料補正 異常 (バンク2)
P0174	混合気 薄すぎ (バンク2)
P0175	混合気 濃すぎ (バンク2)
P0180	燃料温度センサーA回路
