B0001	驾驶席正面第1级气囊展开控制
B0002	驾驶席正面第2级气囊展开控制
B0010	副驾正面第1级气囊展开控制
B0011	副驾正面第2级气囊展开控制
C0035	左前轮速传感器电路
C0040	右前轮速传感器电路
C0045	左后轮速传感器电路
C0050	右后轮速传感器电路
C0051	方向盘位置传感器电路
C0110	泵电机电路
C0121	阀继电器电路
C0265	EBCM 继电器电路
C0550	电子控制单元性能
P0030	氧传感器加热器控制电路 (第1排 传感器1)
P0031	氧传感器加热器控制电路 过低 (第1排 传感器1)
P0032	氧传感器加热器控制电路 过高 (第1排 传感器1)
P0036	氧传感器加热器控制电路 (第1排 传感器2)
P0037	氧传感器加热器控制电路 过低 (第1排 传感器2)
P0038	氧传感器加热器控制电路 过高 (第1排 传感器2)
P0042	氧传感器加热器控制电路 (第1排 传感器3)
P0043	氧传感器加热器控制电路 过低 (第1排 传感器3)
P0044	氧传感器加热器控制电路 过高 (第1排 传感器3)
P0050	氧传感器加热器控制电路 (第2排 传感器1)
P0051	氧传感器加热器控制电路 过低 (第2排 传感器1)
P0052	氧传感器加热器控制电路 过高 (第2排 传感器1)
P0056	氧传感器加热器控制电路 (第2排 传感器2)
P0057	氧传感器加热器控制电路 过低 (第2排 传感器2)
P0058	氧传感器加热器控制电路 过高 (第2排 传感器2)
P0062	氧传感器加热器控制电路 (第2排 传感器3)
P0063	氧传感器加热器控制电路 过低 (第2排 传感器3)
P0064	氧传感器加热器控制电路 过高 (第2排 传感器3)
P0100	空气流量传感器电路
P0101	空气流量传感器电路 范围/性能
P0102	空气流量传感器电路 输入过低
P0103	空气流量传感器电路 输入过高
P0104	空气流量传感器电路 间歇故障
P0105	进气歧管绝对压力传感器电路
P0106	进气歧管绝对压力 范围/性能
P0107	进气歧管绝对压力 输入过低
P0108	进气歧管绝对压力 输入过高
P0109	进气歧管绝对压力 间歇故障
P0110	进气温度传感器电路
P0111	进气温度传感器 范围/性能
P0112	进气温度传感器 输入过低
P0113	进气温度传感器 输入过高
P0114	进气温度传感器 间歇故障
P0115	发动机冷却液温度传感器电路
P0116	冷却液温度传感器 范围/性能
P0117	冷却液温度传感器 输入过低
P0118	冷却液温度传感器 输入过高
P0119	冷却液温度传感器 间歇故障
P0120	节气门/踏板位置传感器A电路
P0121	节气门/踏板位置传感器A 范围/性能
P0122	节气门/踏板位置传感器A 输入过低
P0123	节气门/踏板位置传感器A 输入过高
P0124	节气门/踏板位置传感器A 间歇故障
P0125	冷却液温度不足 无法进入闭环控制
P0126	冷却液温度不足 运行不稳定
P0128	节温器低于调节温度
P0130	氧传感器电路 (第1排 传感器1)
P0131	氧传感器电路 电压过低 (第1排 传感器1)
P0132	氧传感器电路 电压过高 (第1排 传感器1)
P0133	氧传感器电路 响应迟缓 (第1排 传感器1)
P0134	氧传感器电路 无活动信号 (第1排 传感器1)
P0135	氧传感器加热器电路 (第1排 传感器1)
P0136	氧传感器电路 (第1排 传感器2)
P0137	氧传感器电路 电压过低 (第1排 传感器2)
P0138	氧传感器电路 电压过高 (第1排 传感器2)
P0139	氧传感器电路 响应迟缓 (第1排 传感器2)
P0140	氧传感器电路 无活动信号 (第1排 传感器2)
P0141	氧传感器加热器电路 (第1排 传感器2)
P0142	氧传感器电路 (第1排 传感器3)
P0143	氧传感器电路 电压过低 (第1排 传感器3)
P0144	氧传感器电路 电压过高 (第1排 传感器3)
P0145	氧传感器电路 响应迟缓 (第1排 传感器3)
P0146	氧传感器电路 无活动信号 (第1排 传感器3)
P0147	氧传感器加热器电路 (第1排 传感器3)
P0150	氧传感器电路 (第2排 传感器1)
P0151	氧传感器电路 电压过低 (第2排 传感器1)
P0152	氧传感器电路 电压过高 (第2排 传感器1)
P0153	氧传感器电路 响应迟缓 (第2排 传感器1)
P0154	氧传感器电路 无活动信号 (第2排 传感器1)
P0155	氧传感器加热器电路 (第2排 传感器1)
P0156	氧传感器电路 (第2排 传感器2)
P0157	氧传感器电路 电压过低 (第2排 传感器2)
P0158	氧传感器电路 电压过高 (第2排 传感器2)
P0159	氧传感器电路 响应迟缓 (第2排 传感器2)
P0160	氧传感器电路 无活动信号 (第2排 传感器2)
P0161	氧传感器加热器电路 (第2排 传感器2)
P0162	氧传感器电路 (第2排 传感器3)
P0163	氧传感器电路 电压过低 (第2排 传感器3)
P0164	氧传感器电路 电压过高 (第2排 传感器3)
P0165	氧传感器电路 响应迟缓 (第2排 传感器3)
